Index,Clause,Label
1,This Agreement shall Subject to the terms and conditions of this EULA to Safe-T grants you a nontransferable license to use the Safe-T Cloud Software during the period of the license solely as set forth below,Licence-Metric
2,This Agreement grants you a license to use the software with pricing based on a usage-based license metric,Licence-Metric
3,This Agreement Shall allows usage of the software on a network with a maximum bandwidth of 500 megabits per second,Licence-Metric
4,This Agreement Shall limit the scope of SaaS services or Software set forth herein limitations based on square footage,Licence-Metric
5,This Agreement shall grants a subscription license for one user to access and user to access and use Microsoft Office 365 services on up to five devices,Licence-Metric
6,This Agreement shall grants a usage-based license for one user to access and use Google Cloud Platform services,Licence-Metric
7,This Agreement shall grants a usage-based license for one user to access and use AWS services,Licence-Metric
8,This Agreement shall grants a perpetual license for one user to install and use Oracle Database on one device,Licence-Metric
9,This Agreement shall grants a perpetual license for one user to install and use IBM DB2 on one device,Licence-Metric
10,This Agreement shall grants a license based on the number of users and the number of features enabled,Licence-Metric
11,This Agreement shall grants a usage-based license based on the number of requests processed and the amount of compute time used,Licence-Metric
12,This Agreement shall grants a usage-based license based on the number of executions and the amount of compute time used,Licence-Metric
13,This Agreement shall grants a usage-based license based on the amount of data processed and the number of hosts monitored,Licence-Metric
14,This Agreement shall grants a license based on the number of hosts,Licence-Metric
15,This Agreement shall grants a license based on the number of nodes and the features enabled,Licence-Metric
16,This Agreement shall grants a license based on the number of users and the features enabled,Licence-Metric
17,This Agreement shall grants a license based on the number of contacts and the features enabled,Licence-Metric
18,This Agreement shall specifies the number of transactions that can be processed by the software during a given period of time,Licence-Metric
19,This Agreement shall specifies the amount of data that can be stored in the software,Licence-Metric
20,This Agreement shall specifies the length of time that the license is valid for,Licence-Metric
21,This Agreement shall specifies the level of support that is included in the license,Licence-Metric
22,This Agreement shall specifies the specific features of the software that are enabled in the license,Licence-Metric
23,This Agreement shall specifies the amount of disk space that the software can use,Licence-Metric
24,This Agreement shall specifies the number of API calls that can be made to the software during a given period of time,Licence-Metric
25,This Agreement shall specifies the amount of CPU time that the software can use,Licence-Metric
26,This Agreement shall install the Software on no more than one desktop or laptop computer,Licence-Metric
27,This Agreement shall specifies Level of support included in the license standard and premium,Licence-Metric
28,This Agreement shall grants Number of API calls made during a given period of time,Licence-Metric
29,This Agreement shall grants Number of transactions processed during a given period of time,Licence-Metric
30,This Agreement shall grants number of data processed and hosts monitored,Licence-Metric
31,This Agreement shall run the Software from Our authorized online sources via a browser enabled installation on no more than one desktop or laptop computer,Licence-Metric
32,This License Agreement offers you a restricted non-exclusive non-transferable permit to utilize the Safe-T Cloud Software within the license duration exclusively as detailed below,Licence-Metric
33,Under this Agreement a limited non-exclusive and non-transferable license is provided to you for using the Safe-T Cloud Software within the specified license period as described below License Metric,Licence-Metric
34,The Safe-T Cloud Software can be used solely according to the terms outlined below under a restricted non-exclusive and non-transferable license as granted by this Agreement License Metric,Licence-Metric
35,Within the license defined timeframe this Agreement provides you with a limited non-exclusive non-transferable license for utilizing the Safe-T Cloud Software in accordance with the following terms License Metric,Licence-Metric
36,this Agreement bestows upon you a non-transferable license limited in scope non-exclusive in nature for the utilization of the Safe-T Cloud Software during the license period and subject to the conditions set forth here,Licence-Metric
37,A non-transferable license of limited scope devoid of exclusivity is extended to you under this Agreement for the utilization of the Safe-T Cloud Software during the license duration subject to the stipulations laid out below License Metric,Licence-Metric
38,Within the period of the license this Agreement entitles you to a non-transferable license with limited scope and non-exclusivity for using the Safe-T Cloud Software exclusively as delineated herein License Metric,Licence-Metric
39,You are hereby granted a license to use the Safe-T Cloud Software limited in scope non-exclusive and non-transferable during the duration of the license and as expressly detailed below License Metric,Licence-Metric
40,This Agreement provides you with a non-transferable license of restricted scope and non-exclusivity allowing you to use the Safe-T Cloud Software exclusively as set forth herein within the license period,Licence-Metric
41,The Safe-T Cloud Software may be used solely within the license period as defined herein under a non-transferable license that is limited in scope and lacks exclusivity License Metric,Licence-Metric
42,Within the license basic standard and premium levels of support are specified under this Agreement,License-Metric
43,This Agreement outlines the support levels included in the license which encompass basic standard and premium tiers License Metric,Licence-Metric
44,The support levels incorporated into the license such as basic standard and premium are delineated in this Agreement,Licence-Metric
45,Under this Agreement you will find details on the support levels encompassed by the license including basic standard and premium,Licence-Metric
46,Support levels that consist of basic standard and premium categories are explicitly stated in this Agreement as part of the license,Licence-Metric
